Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,2-100,0112008,Aspirin® Cardio,100 mg,comp. gastrorez.,N14x2,România,"Bayer S.R.L. (prod.: Bayer Bitterfeld GmbH, Germania; Bayer Pharma AG, Germania) ",26684,2021-01-18 00:00:00,B01AC06,108960530.00000001,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,2-100,0112012,Sanocard,100 mg,comp. gastrorez.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27785,06.05.2022,B01AC06,9220501770,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,2-100,0112013,Cardiosalin Protec,100 mg,comp. gastrorez.,N10x3,Bulgaria,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",29073,26.05.2023,B01AC06,9230502722,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-150,0114002,Cardiomagnyl,150 mg,comprimate filmate,N100,Danemarca,"Takeda Pharma A/S, Danemarca(PROD: Takeda GmbH, Germania; ,Takeda Pharma A/S, Danemarca; ,Takeda Pharma Sp. z o.o., Polonia; )",27483,26.01.2022,B01AC06,307260044,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-150,0114004,Sanocard,150 mg,comp. gastrorez.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27786,2022-05-06 00:00:00,B01AC06,9220501772,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,011,ACIDUM ACETYLSALICYLICUM,1-150,0114004,Sanocard,150 mg,comp. gastrorez.,N20x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27786,06.05.2022,B01AC06,9220501771,False,Partial,,
Pentru tratamentul osteoporozei,067,ACIDUM ALENDRONICUM,70,0671001,Alendra,70 mg,comprimate,N4,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",26273,2020-07-22 00:00:00,M05BA04,0100300035,False,Partial,,
Pentru tratamentul osteoporozei,067,ACIDUM ALENDRONICUM,70,0671002,Ostalon,70 mg,comp.film.,N4,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter Polska Sp z.o.o, Polonia; )",27284,2021-11-01 00:00:00,M05BA04,0600380197,False,Partial,,
Pentru tratamentul osteoporozei,086,ACIDUM IBANDRONICUM,1-150,0861001,Osagrand® 150 mg,150 mg,comp.film.,N1,Cehia,"Zentiva k.s., Cehia(PROD: Zentiva k.s., Cehia; )",26575,2020-11-19 00:00:00,M05BA06,0109100087,False,Partial,,
Pentru tratamentul osteoporozei,086,ACIDUM IBANDRONICUM,1-1,0862001,Osagrand® 3 mg/3 ml soluţie injectabilă,1 mg/ml,soluţie injectabilă,3ml N1,Cehia,"Zentiva k.s., Cehia(PROD: S.C. Zentiva S.A., România; ,Zentiva k.s., Cehia; )",26593,19.11.2020,M05BA06,0901530024,False,Partial,,
Pentru tratamentul osteoporozei,086,ACIDUM IBANDRONICUM,1-1,0862002,Vivanat Rompharm,1 mg/ml,soluţie injectabilă în seringă preumplută,3ml N1,Georgia,"LLC Rompharm Company Georgia, Georgia(PROD: S.C. Rompharm Company S.R.L., România; )",26502,10.09.2020,M05BA06,0109100065,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,250,0141010,Hepaurs,250 mg,caps.,N10x6,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26583,2020-11-19 00:00:00,A05AA02,9201100788,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,250,0141015,Grinterol®,250 mg,caps.,N10x5,Rusia,"Grindeks Rus SRL (prod.: Grindeks SA, Letonia) ",27866,27.05.2022,A05AA02,0109070265,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,250,0141015,Grinterol®,250 mg,caps.,N10x10,Rusia,"Grindeks Rus SRL (prod.: Grindeks SA, Letonia) ",27866,27.05.2022,A05AA02,0109070254,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,250,0141016,Bileclar,250 mg,caps.,N10x5,Turcia,"Nobel Ilac Pazarlama ve Sanayii Ltd. Şti, Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",28819,31.01.2023,A05AA02,9230102485,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,250,0141002,Ursosan®,250 mg,caps.,N10x5,Cehia,"PRO.MED.CS Praha a.s., Cehia(PROD: PRO.MED.CS Praha a.s., Cehia; )",26104,09.04.2020,A05AA02,2100050024,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,300,0142003,Ursolisin,300 mg,caps.,N20,Italia,"Magis Farmaceutici S.r.l., Italia(PROD: ABC Farmaceutici SpA, Italia; )",24615,18.05.2018,A05AA02,9231203087,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,300,0142004,Hepaurs,300 mg,caps.,N10x6,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26584,19.11.2020,A05AA02,9201100786,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,300,0142006,Ursomac,300 mg,caps.,N10x2,Georgia,"GM Pharmaceuticals Ltd., Georgia(PROD: GM Pharmaceuticals Ltd., Georgia; )",25913,05.11.2019,A05AA02,9191100255,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,014,ACIDUM URSODEOXYCHOLICUM,500,0144001,Ukrliv®,500 mg,comprimate,N10x10,Ucraina,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",26908,05.07.2021,A05AA02,9210701150,False,Partial,,
pentru maladie Guta ,802,ALLOPURINOLUM,100,8021001,Allopurinol,100 mg,comprimate,N10x5,Ucraina,"Centrul Stiintific de Producere ""Uzina Chimico-Farmaceutica Borsceagov"" SAP",28868,27.02.2023,M04AA01,0100330038,False,Partial,,
pentru maladie Guta ,802,ALLOPURINOLUM,100,8021002,Milurit®,100 mg,comprimate,N30,Ungaria,"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria) ",29042,03.05.2023,M04AA01,0100330153,False,Partial,,
pentru maladie Guta ,802,ALLOPURINOLUM,300,8022001,Milurit®,300 mg,comprimate,N30,Ungaria,"Egis Pharmaceuticals PLC, Ungaria(PROD: Egis Pharmaceuticals PLC, Ungaria; )",29043,03.05.2023,M04AA01,0100330083,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,018,AMIODARONUM,200,0181005,Cordarone® 200 mg,200 mg,comp.,N15x2,România,"Sanofi Romania SRL, România(PROD: Chinoin Private Co. Ltd, Ungaria; ,Sanofi Winthrop Industrie, Franţa; )",27216,2021-10-07 00:00:00,C01BD01,1806490037,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,018,AMIODARONUM,200,0181012,Rotaritmil,200 mg,comprimate,N10x3,Marea Britanie,"Rotapharm Limited, Marea Britanie(PROD: Rivopharm SA, Elveţia; )",29572,04.04.2024,C01BD01,9240403200,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,018,AMIODARONUM,200,0181013,Amiodaron- BP,200 mg,comp.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",25597,21.06.2019,C01BD01,9190600012,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071001,Normodipine®,5 mg,comp.,N10x3,Ungaria,Gedeon Richter PLC,26064,2020-03-06 00:00:00,C08CA01,100530034,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071005,Tenox®,5 mg,comp.,N10x3,Slovenia,"KRKA d.d., Novo mesto",26438,2020-08-11 00:00:00,C08CA01,100530090,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071024,Amlodipină LPH® 5 mg,5 mg,comp.,N10x3,România,Labormed Pharma SA,25153,2018-12-05 00:00:00,C08CA01,107860507,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071030,Amlodipin,5 mg,comp.,N10x3,Belarus,Lekfarm SRL,29410,30.11.2023,C08CA01,107860622,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071031,MAC-Amlodipin,5 mg,comp.,N10x2,Macedonia,Replek Farm Ltd.,25532,26.04.2019,C08CA01,107860769.00000001,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071034,Samlopin®,5 mg,comp.,N14x2,Ucraina,Kusum Pharm SRL,26562,2020-11-19 00:00:00,C08CA01,107860828.00000001,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071035,Amlodipin-BP,5 mg,comp.,N14x2,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",26337,2020-07-22 00:00:00,C08CA01,9200700581,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,5,0071035,Amlodipin-BP,5 mg,comp.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",26337,22.07.2020,C08CA01,9231203089,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072001,Normodipine®,10 mg,comp.,N10x3,Ungaria,Gedeon Richter PLC,26065,2020-03-06 00:00:00,C08CA01,100530023,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072004,Tenox®,10 mg,comp.,N10x3,Slovenia,"KRKA d.d., Novo mesto",26439,2020-08-11 00:00:00,C08CA01,100530089,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072012,Amlodipin,10 mg,comp.,N10x3,Republica Belarus,Lekpharm SRL,29409,30.11.2023,C08CA01,107860105,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072021,Amlodipină LPH® 10 mg,10 mg,comp.,N10x3,România,Labormed Pharma SA,25152,2018-12-05 00:00:00,C08CA01,107860493,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072025,MAC-Amlodipin,10 mg,comp.,N10x2,Macedonia,Replek Farm Ltd.,25531,2019-04-26 00:00:00,C08CA01,107860770,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,007,AMLODIPINUM,10,0072028,Amlodipin-BP,10 mg,comp.,N10x3,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",26338,2020-07-22 00:00:00,C08CA01,9200700578,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,5,0811001,Valodip®,5 mg/160 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA-Rus, Rusia; )",27800,06.05.2022,C09DB01,2208820150,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,5,0811002,Difors,5 mg/160 mg,comp. film.,N10x3,Ucraina,"Acino Ucraina SRL, Ucraina(PROD: Pharma Start SRL, Ucraina; )",28765,29.12.2022,C09DB01,2208820253,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,5,0811003,Amlodipino/Valsartan STADA,5 mg/160 mg,comp. film.,N14x2,Spania,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",30488,26.11.2024,C09DB01,9241103492,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,10,0812001,Valodip®,10 mg/160 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA-Rus, Rusia; )",27801,06.05.2022,C09DB01,2208820091,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,10,0812002,Difors,10 mg/160 mg,comp. film.,N10x3,Ucraina,"Acino Ucraina SRL, Ucraina(PROD: Pharma Start SRL, Ucraina; )",28764,29.12.2022,C09DB01,2208820264,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,081,AMLODIPINUM+VALSARTANUM,10,0812003,Amlodipino/Valsartan STADA,10 mg/160 mg,comp. film.,N14x2,Spania,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",30487,26.11.2024,C09DB01,9241103491,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,087,APIXABANUM,"2,5",0871001,Emboquis,"2,5 mg",comp. film.,N7x8,Turcia,"Nobel Ilac Sanayii Ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",30455,28.10.2024,B01AF02,9241003477,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,087,APIXABANUM,5,0872001,Emboquis,5 mg,comp. film.,N14x4,Turcia,"Nobel Ilac Sanayii Ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",30456,28.10.2024,B01AF02,9241003478,False,Partial,,
Pentru tratamentul maladiilor oncologice,083,BICALUTAMIDUM,50,0831002,Bicalutamida STADA 50 mg,50 mg,comprimate filmate,N10x3,Spania,"Laboratorio STADA, S.L., Spania(PROD: Tecnimede Sociedade Tecnico-Medicinal, S.A., Portugalia; )",30537,16.12.2024,L02BB03,9241203591,False,Partial,,
Pentru tratamentul psoriazisului,075,BETAMETHASONUM + ACIDUM SALICYLICUM,0.64,0751001,Glametazon,"0,64 mg/30 mg/g ",unguent,30 g N1,Republica Moldova,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",24586,18.05.2018,D07XC01,0200170235,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171001,Bisogamma® 5,5 mg,comp. film.,N10x3,Germania,"Worwag Pharma GmbH&Co.KG (prod.: Artesan Pharma GmbH&Co.KG, Germania; Magistra C&C SRL, SC, România; Worwag Pharma GmbH&Co.KG, Germania) ",25528,2019-04-26 00:00:00,C07AB07,200300072.00000003,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171004,Biprolol,5 mg,comp.,N10x3,Ucraina,"UCF Borsceagov SAP,CŞP",25584,2019-06-21 00:00:00,C07AB07,200300223,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171005,Bisotens® 5 mg,5 mg,comp. film.,N10x3,România,"Antibiotice SA, SC",25157,2018-12-05 00:00:00,C07AB07,200300256,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171009,Concor®,5 mg,comp. film.,N30,Germania,Merck KGaA,26556,2020-11-19 00:00:00,C07AB07,200300614,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171012,Bidop® 5 mg,5 mg,comp.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda) ",26160,2020-04-30 00:00:00,C07AB07,9200500434,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171013,Niperten,5 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28132,25.08.2022,C07AB07,200300566,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171014,Bicard-LF,5 mg,comp. film.,N10x3,Republica Belarus,Lekfarm SRL,25545,26.04.2019,C07AB07,200300681,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171019,Bisoprolol-BP,5 mg,comp. film.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27354,2021-11-29 00:00:00,C07AB07,9211101437,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171021,Bisoprolol,5 mg,comp. film.,N10x3,Macedonia,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",26323,2020-07-22 00:00:00,C07AB07,9200700591,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171024,Bisoprolol-ACOS,5 mg,comp. film.,N10x3,Rusia,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",30452,28.10.2024,C07AB07,9241003454,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172001,Bisogamma® 10,10 mg,comp. film.,N10x3,Germania,"Worwag Pharma GmbH&Co.KG (prod.: Magistra C&C SRL, SC, România; Mauermann-Arzneimittel KG, Germania) ",25529,2019-04-26 00:00:00,C07AB07,200300083,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172024,Bisoprolol-ACOS,10 mg,comp. film.,N10x3,Rusia,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",30451,28.10.2024,C07AB07,9241003452,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172004,Biprolol,10 mg,comp.,N10x3,Ucraina,"UCF Borsceagov SAP,CŞP",25586,2019-06-21 00:00:00,C07AB07,200300234,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172005,Bisotens® 10 mg,10 mg,comp. film.,N10x3,România,"Antibiotice SA, SC",25156,2018-12-05 00:00:00,C07AB07,200300245,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172010,Concor®,10 mg,comp. film.,N30,Germania,Merck KGaA,26557,2020-11-19 00:00:00,C07AB07,200300636,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172012,Bidop® ,10 mg,comp.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda) ",26161,2020-04-30 00:00:00,C07AB07,9200500431,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172013,Niperten,10 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28133,2022-08-25 00:00:00,C07AB07,200300588,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172014,Bicard-LF,10 mg,comp. film.,N10x3,Republica Belarus,Lekpharm SRL,25543,2019-04-26 00:00:00,C07AB07,200300739,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172019,Bisoprolol-BP,10 mg,comp. film.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27355,2021-11-29 00:00:00,C07AB07,9211101434,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172021,Bisoprolol,10 mg,comp. film.,N10x3,Macedonia,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",26324,2020-07-22 00:00:00,C07AB07,9200700590,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173001,Bidop® ,"2,5 mg",comp.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda) ",26159,2020-04-30 00:00:00,C07AB07,9200500436,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173002,Concor® Cor,"2,5 mg",comp. film.,N10x3,Germania,Merck KGaA,28140,25.08.2022,C07AB07,0200301024,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173002,Concor® Cor,"2,5 mg",comp. film.,N 30,Germania,Merck KGaA,28140,25.08.2022,C07AB07,0200301013,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173003,Niperten,"2,5 mg",comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28131,25.08.2022,C07AB07,200300577,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173008,Bicard-LF,"2,5 mg",comp. film.,N10x3,Republica Belarus,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",25544,26.04.2019,C07AB07,0200300717,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173006,Bisoprolol-BP,"2,5 mg",comp. film.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27353,2021-11-29 00:00:00,C07AB07,9211101436,False,Partial,,
Pentru tratamentul bolilor endocrine,042,BROMOCRIPTINUM,2.5,0421001,Bromocriptin-Richter,"2,5 mg",comp.,N30,Ungaria,Gedeon Richter PLC,28684,28.11.2022,G02CB01,200360012.00000003,False,Partial,,
Pentru tratamentul astmului bronşic,068,BUDESONIDUM+FORMOTEROLUM,80,0681001,Symbicort® Turbuhaler®,"80 mcg/4,5 mcg/inhalație",pulbere de inhalat,60 doze N1,Suedia,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",27844,2022-05-27 00:00:00,R03AK07,9220501859,False,Partial,,
Pentru tratamentul astmului bronşic,068,BUDESONIDUM+FORMOTEROLUM,160,0682001,Symbicort® Turbuhaler®,"160 mcg/4,5 mcg/inhalație",pulbere de inhalat,60 doze N1,Suedia,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",27845,27.05.2022,R03AK07,9220501860,False,Partial,,
Pentru tratamentul bolilor endocrine,062,CABERGOLINUM,0.5,0621002,Cabergolin-BP,"0,5 mg",comp.,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28038,04.08.2022,G02CB03,9220801942,False,Partial,,
Pentru tratamentul bolilor endocrine,062,CABERGOLINUM,0.5,0621002,Cabergolin-BP,"0,5 mg",comp.,N2,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28038,04.08.2022,G02CB03,9220801943,False,Partial,,
